source,url,title,price,period,property_type,bedrooms,bathrooms,toilets,property_address,size_sqm,furnishing,condition,amenities,description
Jiji,https://jiji.ng/jakande/houses-apartments-for-rent/furnished-2bdrm-apartment-in-jakande-for-rent-wEW1at8nhZtxdO3t8a0xe8bS.html?page=8&pos=6&cur_pos=6&ads_per_page=24&ads_count=7990&lid=2h616tF1dBw_iu38&indexPosition=440,Furnished 2bdrm Apartment in Jakande for rent,6000000.0,per month,Apartment,2.0,2.0,2.0,Primero Nicon town,45.0,Furnished,Newly-Built,"24-hour Electricity, Air Conditioning, Balcony, Chandelier, Dining Area, Dishwasher, Hot Water, Kitchen Cabinets, Kitchen Shelf, Microwave, Pop Ceiling, Pre-Paid Meter, Refrigerator, Tiled Floor, TV, Wardrobe, Wi-Fi",
Jiji,https://jiji.ng/katampe-extension/houses-apartments-for-rent/studio-apartment-in-katampe-extension-for-rent-BE904kWBbRyBySJ4YwxfgzQ3.html?page=2&pos=15&cur_pos=15&ads_per_page=24&ads_count=7990&lid=2h616tF1dBw_iu38&indexPosition=305,Studio Apartment in Katampe Extension for rent,1600000.0,per annum,Studio Apartment,1.0,1.0,1.0,Katampe Extension,500.0,Semi-Furnished,Fairly Used,"24-hour Electricity, Balcony, Dining Area, Dishwasher, Hot Water, Kitchen Cabinets, Kitchen Shelf, Pop Ceiling, Pre-Paid Meter, Tiled Floor, Wardrobe",
Jiji,https://jiji.ng/obafemi-owode/houses-apartments-for-rent/2bdrm-apartment-in-magboro-obafemi-owode-for-rent-ae6udvDRHdffEYHAONfx2NvK.html?page=6&pos=9&cur_pos=9&ads_per_page=24&ads_count=7990&lid=2h616tF1dBw_iu38&indexPosition=395,"2bdrm Apartment in Magboro, Obafemi-Owode for rent",1500000.0,per annum,Apartment,2.0,2.0,3.0,Magboro,700.0,Semi-Furnished,Newly-Built,"Balcony, Chandelier, Dining Area, Dishwasher, Hot Water, Kitchen Cabinets, Kitchen Shelf, Pop Ceiling, Pre-Paid Meter, Refrigerator, Tiled Floor, Wardrobe",
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/2bdrm-block-of-flats-in-port-harcourt-for-rent-pvcVJT5fsUpHSvcRPFWO7m3L.html?page=5&pos=10&cur_pos=10&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=105,2bdrm Block of Flats in Port-Harcourt for rent,2000000.0,per annum,Block of Flats,2.0,3.0,,ADA George,465.0,Unfurnished,Fairly Used,,
Jiji,https://jiji.ng/obio-akpor/houses-apartments-for-rent/2bdrm-block-of-flats-in-rumuogholu-obio-akpor-for-rent-Czqw16SK7mCzWHfa6XXM9SGv.html?page=10&pos=9&cur_pos=9&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=224,"2bdrm Block of Flats in Rumuogholu, Obio-Akpor for rent",2800000.0,per annum,Block of Flats,2.0,2.0,1.0,SARS road rumuogholu Port Harcourt,450.0,Unfurnished,Newly-Built,"24-hour Electricity, Balcony, Chandelier, Dining Area, Hot Water, Kitchen Cabinets, Kitchen Shelf, Pop Ceiling",
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/2bdrm-block-of-flats-in-shell-corperative-port-harcourt-for-rent-zG63FwWSQ5il5MHdlj9GaQYv.html?page=5&pos=19&cur_pos=19&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=114,"2bdrm Block of Flats in Shell Corperative, Port-Harcourt for rent",2000000.0,per annum,Block of Flats,2.0,3.0,,Eneka link Road,465.0,Unfurnished,Newly-Built,,
Jiji,https://jiji.ng/ikeja/houses-apartments-for-rent/furnished-3bdrm-duplex-in-ikeja-for-rent-mgQGi4kDuTWHD6VWavqfqlEZ.html?page=9&pos=17&cur_pos=17&ads_per_page=24&ads_count=7990&lid=2h616tF1dBw_iu38&indexPosition=475,Furnished 3bdrm Duplex in Ikeja for rent,15000000.0,per annum,Duplex,3.0,3.0,3.0,Allen Avenue,700.0,Furnished,Fairly Used,"24-hour Electricity, Air Conditioning, Balcony, Chandelier, Dining Area, Hot Water, Kitchen Cabinets, Kitchen Shelf, Microwave, Pop Ceiling, Pre-Paid Meter, Tiled Floor, Wardrobe, Wi-Fi",
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/2bdrm-duplex-in-port-harcourt-for-rent-WyZBMJQFRnvvo6zWZSHBl3r.html?page=7&pos=12&cur_pos=12&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=155,2bdrm Duplex in Port-Harcourt for rent,3000000.0,per annum,Duplex,2.0,3.0,,Ada George,656.0,Unfurnished,Fairly Used,,
Jiji,https://jiji.ng/allen-avenue/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-alfred-court-allen-avenue-for-rent-fYuwMpWRdFHwJLtKWfMcXxR1.html?page=10&pos=24&cur_pos=24&ads_per_page=24&ads_count=7990&lid=2h616tF1dBw_iu38&indexPosition=506,"4bdrm Townhouse / Terrace in Alfred Court, Allen Avenue for rent",20000000.0,per annum,Townhouse / Terrace,4.0,4.0,5.0,Bolanle close Allen avenue ikeja,300.0,Semi-Furnished,Newly-Built,"24-hour Electricity, Air Conditioning, Balcony, Chandelier, Dining Area, Dishwasher, Hot Water, Kitchen Cabinets, Kitchen Shelf, Microwave, Pop Ceiling, Pre-Paid Meter, Refrigerator, Tiled Floor, TV, Wardrobe, Wi-Fi",
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/2bdrm-block-of-flats-in-port-harcourt-for-rent-tNzEjY04e71wdxrJj9v3M3nk.html?page=11&pos=3&cur_pos=3&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=242,2bdrm Block of Flats in Port-Harcourt for rent,2000000.0,per annum,Block of Flats,2.0,3.0,,Ada George by Chinda,465.0,Unfurnished,Fairly Used,"Air Conditioning, Balcony, Chandelier, Dining Area, Hot Water, Kitchen Cabinets, Kitchen Shelf, Pop Ceiling, Pre-Paid Meter, Tiled Floor, Wardrobe",
