source,url,title,price,period,bedrooms,bathrooms,toilets,size_sqm,furnishing,condition,property_type_clean,neighborhood
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/2bdrm-block-of-flats-in-port-harcourt-for-rent-pvcVJT5fsUpHSvcRPFWO7m3L.html?page=5&pos=10&cur_pos=10&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=105,2bdrm Block of Flats in Port-Harcourt for rent,2000000.0,per annum,2.0,3.0,3.0,465.0,Unfurnished,Fairly Used,Apartment/Flat,Ada George / Agip / NTA
Jiji,https://jiji.ng/obio-akpor/houses-apartments-for-rent/2bdrm-block-of-flats-in-rumuogholu-obio-akpor-for-rent-Czqw16SK7mCzWHfa6XXM9SGv.html?page=10&pos=9&cur_pos=9&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=224,"2bdrm Block of Flats in Rumuogholu, Obio-Akpor for rent",2800000.0,per annum,2.0,2.0,1.0,450.0,Unfurnished,Newly-Built,Apartment/Flat,SARS Rd / Rumuagholu / NAF Estate
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/2bdrm-block-of-flats-in-shell-corperative-port-harcourt-for-rent-zG63FwWSQ5il5MHdlj9GaQYv.html?page=5&pos=19&cur_pos=19&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=114,"2bdrm Block of Flats in Shell Corperative, Port-Harcourt for rent",2000000.0,per annum,2.0,3.0,3.0,465.0,Unfurnished,Newly-Built,Apartment/Flat,Eneka / Rumuduru / Rumuokwurusi
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/2bdrm-duplex-in-port-harcourt-for-rent-WyZBMJQFRnvvo6zWZSHBl3r.html?page=7&pos=12&cur_pos=12&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=155,2bdrm Duplex in Port-Harcourt for rent,3000000.0,per annum,2.0,3.0,3.0,656.0,Unfurnished,Fairly Used,Duplex,Ada George / Agip / NTA
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/2bdrm-block-of-flats-in-port-harcourt-for-rent-tNzEjY04e71wdxrJj9v3M3nk.html?page=11&pos=3&cur_pos=3&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=242,2bdrm Block of Flats in Port-Harcourt for rent,2000000.0,per annum,2.0,3.0,3.0,465.0,Unfurnished,Fairly Used,Apartment/Flat,Ada George / Agip / NTA
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/2bdrm-block-of-flats-in-port-harcourt-for-rent-iEiEC5fJhovILjIhddsiRLoE.html?page=4&pos=14&cur_pos=14&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=85,2bdrm Block of Flats in Port-Harcourt for rent,2000000.0,per annum,2.0,3.0,3.0,465.0,Unfurnished,Newly-Built,Apartment/Flat,Other Port Harcourt
Jiji,https://jiji.ng/ph-gra-phase-2/houses-apartments-for-rent/3bdrm-block-of-flats-in-gra-phase-2-port-harcourt-for-rent-aXH5Ze7ZF0YNc1zQHA73a8fn.html?page=3&pos=24&cur_pos=24&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=71,3bdrm Block of Flats in GRA Phase 2 / Port-Harcourt for rent,4000000.0,per annum,3.0,4.0,4.0,465.0,Unfurnished,Renovated,Apartment/Flat,GRA / Eagle Island
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/3bdrm-block-of-flats-in-port-harcourt-for-rent-iyiuw4F1jv6CzHzSaaI018tQ.html?page=5&pos=20&cur_pos=20&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=115,3bdrm Block of Flats in Port-Harcourt for rent,3500000.0,per annum,3.0,4.0,4.0,555.0,Unfurnished,Newly-Built,Apartment/Flat,Eliozu / Rumuodara / Rumuibekwe
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/4bdrm-duplex-in-rumukurushi-port-harcourt-for-rent-mhvlOx0nLSe1lGdsbFHpyRtP.html?page=5&pos=3&cur_pos=3&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=98,"4bdrm Duplex in Rumukurushi, Port-Harcourt for rent",4000000.0,per annum,4.0,5.0,5.0,555.0,Unfurnished,Fairly Used,Duplex,Eneka / Rumuduru / Rumuokwurusi
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/2bdrm-block-of-flats-in-radio-estate-port-harcourt-for-rent-7ufNUrmQEEQ4ddTNOXHQs0O6.html?page=6&pos=1&cur_pos=1&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=120,"2bdrm Block of Flats in Radio Estate, Port-Harcourt for rent",2500000.0,per annum,2.0,3.0,3.0,465.0,Unfurnished,Newly-Built,Apartment/Flat,Ada George / Agip / NTA
