URL,Title,Price,Location,Description,Property Ref,Last Updated,Market Status,Type,Bedrooms,Bathrooms,Toilets,Parking Spaces,Total Area,Covered Area,Unnamed: 15,Servicing,Service Charge,Furnishing,Sharing,Period
https://nigeriapropertycentre.com/for-rent/houses/semi-detached-bungalows/rivers/port-harcourt/rumuduru/3238395-a-4-bedroom-bungalow-with-an-inbuilt-1-bedroom-flat-attached,A 4 Bedroom Bungalow With An Inbuilt 1 Bedroom Flat Attached,"4,000,000","Off Eneka Road, Rumuduru, Port Harcourt, Rivers","The property is a 4 bedroom bungalow with a study room and 1 bedroom boy's quarters that is built with the bungalow, the compound consist of other block of 2 bedroom flat (4 flat)
The property has ample parking space, well interlocked , good power supply in the neighborhood, it's situate in a secured estate with uniform security.",3238395,7-Dec-25,Available,Semi-detached Bungalow,4,5,5,5,900 sqm,450 sqm,,,,,,per annum
https://nigeriapropertycentre.com/for-rent/houses/semi-detached-bungalows/rivers/port-harcourt/rumuduru/3238395-a-4-bedroom-bungalow-with-an-inbuilt-1-bedroom-flat-attached,A 4 Bedroom Bungalow With An Inbuilt 1 Bedroom Flat Attached,"4,000,000","Off Eneka Road, Rumuduru, Port Harcourt, Rivers","The property is a 4 bedroom bungalow with a study room and 1 bedroom boy's quarters that is built with the bungalow, the compound consist of other block of 2 bedroom flat (4 flat)
The property has ample parking space, well interlocked , good power supply in the neighborhood, it's situate in a secured estate with uniform security.",3238395,7-Dec-25,Available,Semi-detached Bungalow,4,5,5,5,900 sqm,450 sqm,,,,,,per annum
https://nigeriapropertycentre.com/for-rent/flats-apartments/rivers/port-harcourt/rumuodara/3240430-3-bedroom-flat-with-standard-facilities,3 Bedroom Flat With Standard Facilities,"2,000,000","Off Okporo Road, Rumuodara, Port Harcourt, Rivers","The property is a 3 bedroom flat with excellent facilities, the property consist of 3 persons in the compound",3240430,6-Dec-25,Available,Flat / Apartment,3,4,4,,,,,,,,,per annum
https://nigeriapropertycentre.com/for-rent/flats-apartments/rivers/port-harcourt/rumuodara/3240430-3-bedroom-flat-with-standard-facilities,3 Bedroom Flat With Standard Facilities,"2,000,000","Off Okporo Road, Rumuodara, Port Harcourt, Rivers","The property is a 3 bedroom flat with excellent facilities, the property consist of 3 persons in the compound",3240430,6-Dec-25,Available,Flat / Apartment,3,4,4,,,,,,,,,per annum
https://nigeriapropertycentre.com/for-rent/flats-apartments/rivers/port-harcourt/rumuodara/3238938-tastefully-finished-2-bedroom-flat-excellent-facilities,"Tastefully Finished 2 Bedroom Flat, Excellent Facilities","3,000,000","Off Okporo Road, Rumuodara, Port Harcourt, Rivers","The property is a block of 2 Bedroom flat with excellent condition, the property is situate in a gated estate with uniform security, the property has the following features:
* Well ventilated sitting room with dinning space
* Guest toilet
* Well ventilated rooms with standard wardrobe
* Bathroom are fitted with good modern fittings
* Kitchen is fitted with standard kitchen cabinets
* All the flat I are finished with modern Pop designs
*Well interlock compound
* Ample parking space
* Good power supply
* Decent neighborhood
Please contact us for more information and inspection.",3238938,5-Dec-25,Available,Flat / Apartment,2,3,3,6,456 sqm,,,,,,,per annum
https://nigeriapropertycentre.com/for-rent/flats-apartments/rivers/port-harcourt/rumuodara/3238938-tastefully-finished-2-bedroom-flat-excellent-facilities,"Tastefully Finished 2 Bedroom Flat, Excellent Facilities","3,000,000","Off Okporo Road, Rumuodara, Port Harcourt, Rivers","The property is a block of 2 Bedroom flat with excellent condition, the property is situate in a gated estate with uniform security, the property has the following features:
* Well ventilated sitting room with dinning space
* Guest toilet
* Well ventilated rooms with standard wardrobe
* Bathroom are fitted with good modern fittings
* Kitchen is fitted with standard kitchen cabinets
* All the flat I are finished with modern Pop designs
*Well interlock compound
* Ample parking space
* Good power supply
* Decent neighborhood
Please contact us for more information and inspection.",3238938,5-Dec-25,Available,Flat / Apartment,2,3,3,6,456 sqm,,,,,,,per annum
https://nigeriapropertycentre.com/for-rent/flats-apartments/rivers/port-harcourt/rumuomasi/3242161-beautiful-pop-standard-1-bedroom-flat-finished-with-quality,Beautiful Pop Standard 1 Bedroom Flat Finished With Quality,"2,000,000","Stadium Road, Rumuomasi, Port Harcourt, Rivers","This one-bedroom flat for rent on Stadium Road offers a comfortable living space in a convenient location.
LOCATION... Stadium road
RENT.... 2m
The flat features a cozy bedroom, a well-equipped kitchenette, and a spacious living area.
Its proximity to Federal Road ensures easy access to public transportation, making it simple to reach any part of Port Harcourt.
With amenities nearby, including shops and recreational areas, this flat is ideal for those seeking both comfort and convenience in the heart of the city.
for more details and inspection call Eduphil  .. 08038743912",3242161,15-Dec-25,Available,Flat / Apartment,1,2,2,8,465 sqm,347 sqm,,,,,,per annum
https://nigeriapropertycentre.com/for-rent/flats-apartments/rivers/port-harcourt/rumuomasi/3242161-beautiful-pop-standard-1-bedroom-flat-finished-with-quality,Beautiful Pop Standard 1 Bedroom Flat Finished With Quality,"2,000,000","Stadium Road, Rumuomasi, Port Harcourt, Rivers","This one-bedroom flat for rent on Stadium Road offers a comfortable living space in a convenient location.
LOCATION... Stadium road
RENT.... 2m
The flat features a cozy bedroom, a well-equipped kitchenette, and a spacious living area.
Its proximity to Federal Road ensures easy access to public transportation, making it simple to reach any part of Port Harcourt.
With amenities nearby, including shops and recreational areas, this flat is ideal for those seeking both comfort and convenience in the heart of the city.
for more details and inspection call Eduphil  .. 08038743912",3242161,15-Dec-25,Available,Flat / Apartment,1,2,2,8,465 sqm,347 sqm,,,,,,per annum
https://nigeriapropertycentre.com/for-rent/flats-apartments/rivers/port-harcourt/rukpokwu/3237256-1-bedroom-flat,1 Bedroom Flat,"2,000,000","Rukpokwu Eneka Road, Rukpokwu, Port Harcourt, Rivers","Tastefully finished 1 virgin 1 bedroom flat. Luxury apartment. Rukpokwu with federal light
Rent 2m
Caution 200k
Service charge 150k
Legal 200k
Agency400k",3237256,4-Dec-25,Available,Flat / Apartment,1,2,2,6,485 sqm,,,,,,,per annum
https://nigeriapropertycentre.com/for-rent/flats-apartments/rivers/port-harcourt/rukpokwu/3237256-1-bedroom-flat,1 Bedroom Flat,"2,000,000","Rukpokwu Eneka Road, Rukpokwu, Port Harcourt, Rivers","Tastefully finished 1 virgin 1 bedroom flat. Luxury apartment. Rukpokwu with federal light
Rent 2m
Caution 200k
Service charge 150k
Legal 200k
Agency400k",3237256,4-Dec-25,Available,Flat / Apartment,1,2,2,6,485 sqm,,,,,,,per annum
